date,n1,n2,n3,n4,n5,s1,s2
20230915,12,14,21,45,48,8,11
20230919,10,15,31,41,42,2,5
20230922,3,23,24,34,35,5,8
20230926,2,6,14,19,23,5,7
20230929,9,11,13,21,32,2,7
20231003,6,20,22,24,45,4,5
20231006,21,29,31,34,43,2,9
20231010,18,20,22,33,43,3,9
20231013,21,26,28,40,41,2,4
20231017,10,17,20,35,40,3,4
20231020,2,20,28,40,45,1,5
20231024,8,16,18,31,34,6,9
20231027,29,33,35,48,49,3,8
20231031,5,7,20,40,50,2,10
20231103,8,21,31,39,47,5,9
20231107,8,10,11,30,39,4,10
20231110,10,21,30,38,42,2,12
20231114,13,16,36,44,50,3,5
20231117,2,24,26,46,50,2,7
20231121,19,29,34,46,47,2,3
20231124,15,20,29,39,48,1,7
20231128,12,16,27,33,44,7,8
20231201,4,10,14,38,50,9,12
20231205,4,6,20,24,25,5,9
20231208,17,30,42,48,50,4,8
20231212,6,28,37,39,43,9,12
20231215,2,13,37,38,48,5,9
20231219,10,20,41,43,45,2,12
20231222,6,14,34,44,49,4,12
20231226,8,27,30,35,47,9,10
20231229,2,3,19,36,37,6,9
20240102,7,15,18,46,49,10,12
20240105,4,7,18,39,50,3,8
20240109,2,9,12,39,40,1,3
20240112,16,17,18,45,49,9,12
20240116,10,18,21,33,45,8,12
20240119,27,28,44,48,50,7,12
20240123,14,23,39,48,50,3,12
20240126,8,19,32,41,42,9,12
20240130,5,10,19,27,30,5,6
20240202,13,20,23,27,42,5,9
20240206,2,7,21,28,45,5,11
20240209,23,24,35,37,45,9,12
